Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_pg,PTS_pg,TRB_pg,AST_pg,WS,WS48,BPM,VORP,draft_year,name_clean
20,SAS,James Anderson,Oklahoma State,5.0,247.0,4320.0,1422.0,560.0,291.0,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8,2010,jamesanderson
21,OKC,Craig Brackins,Iowa State,2.0,17.0,121.0,30.0,19.0,9.0,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2,2010,craigbrackins
22,POR,Elliot Williams,Memphis,4.0,109.0,1470.0,537.0,161.0,94.0,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,2010,elliotwilliams
23,MIN,Trevor Booker,Clemson,8.0,532.0,10872.0,3679.0,2932.0,565.0,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,2010,trevorbooker
24,ATL,Damion James,Texas,4.0,39.0,623.0,150.0,131.0,26.0,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3,2010,damionjames
25,MEM,Dominique Jones,South Florida,3.0,80.0,741.0,246.0,114.0,144.0,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,2010,dominiquejones
26,OKC,Quincy Pondexter,Washington,7.0,355.0,5530.0,1609.0,640.0,263.0,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3,2010,quincypondexter
27,NJN,Jordan Crawford,Xavier,6.0,281.0,6843.0,3432.0,703.0,883.0,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,2010,jordancrawford
28,MEM,Greivis Vásquez,Maryland,7.0,401.0,9520.0,3591.0,1021.0,1935.0,0.418,0.349,0.817,23.7,9.0,2.5,4.8,12.6,0.064,-1.2,1.8,2010,greivisvasquez
29,ORL,Daniel Orton,Kentucky,3.0,51.0,542.0,143.0,126.0,24.0,0.485,0.0,0.597,10.6,2.8,2.5,0.5,1.0,0.093,-3.5,-0.2,2010,danielorton
30,WAS,Lazar Hayward,Marquette,3.0,72.0,591.0,207.0,90.0,35.0,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,2010,lazarhayward
31,NJN,Tibor Pleiß,,1.0,12.0,82.0,24.0,15.0,2.0,0.44,0.0,1.0,6.8,2.0,1.3,0.2,-0.1,-0.041,-11.6,-0.2,2010,tiborpleiß
32,MIA,Dexter Pittman,Texas,4.0,50.0,347.0,116.0,89.0,9.0,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5,2010,dexterpittman
33,SAC,Hassan Whiteside,Marshall,10.0,511.0,12645.0,6450.0,5523.0,327.0,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52.0,0.197,2.5,14.5,2010,hassanwhiteside
34,POR,Armon Johnson,Nevada,2.0,47.0,401.0,157.0,49.0,56.0,0.458,0.4,0.679,8.5,3.3,1.0,1.2,-0.1,-0.015,-4.1,-0.2,2010,armonjohnson
35,WAS,Nemanja Bjelica,,7.0,449.0,9173.0,3412.0,2051.0,826.0,0.466,0.384,0.759,20.4,7.6,4.6,1.8,20.0,0.104,0.3,5.4,2010,nemanjabjelica
36,DET,Terrico White,Ole Miss,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,terricowhite
37,MIL,Darington Hobson,New Mexico,1.0,5.0,39.0,4.0,3.0,6.0,0.154,0.0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13.0,-0.1,2010,daringtonhobson
38,NYK,Andy Rautins,Syracuse,1.0,5.0,24.0,8.0,1.0,3.0,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1,2010,andyrautins
39,NYK,Landry Fields,Stanford,5.0,255.0,6010.0,1731.0,1092.0,419.0,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6,2010,landryfields
40,IND,Lance Stephenson,Cincinnati,10.0,554.0,12680.0,4738.0,2251.0,1621.0,0.445,0.314,0.694,22.9,8.6,4.1,2.9,17.5,0.066,-1.3,2.3,2010,lancestephenson
41,MIA,Jarvis Varnado,Mississippi State,2.0,37.0,397.0,107.0,72.0,16.0,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1,2010,jarvisvarnado
42,MIA,Da'Sean Butler,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,da'seanbutler
43,LAL,Devin Ebanks,West Virginia,3.0,63.0,711.0,224.0,122.0,24.0,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,2010,devinebanks
44,MIL,Jerome Jordan,Tulsa,2.0,65.0,491.0,180.0,132.0,17.0,0.528,,0.852,7.6,2.8,2.0,0.3,1.7,0.168,-1.0,0.1,2010,jeromejordan
45,MIN,Paulão Prestes,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,paulaoprestes
46,PHO,Gani Lawal,Georgia Tech,1.0,1.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,-0.009,-15.0,0.0,2010,ganilawal
47,MIL,Tiny Gallon,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,tinygallon
48,MIA,Latavious Williams,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,lataviouswilliams
49,SAS,Ryan Richards,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,ryanrichards
50,DAL,Solomon Alabi,Florida State,2.0,26.0,181.0,39.0,61.0,5.0,0.314,,0.7,7.0,1.5,2.3,0.2,0.0,0.01,-4.4,-0.1,2010,solomonalabi
51,OKC,Magnum Rolle,Louisiana Tech,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,magnumrolle
52,BOS,Luke Harangody,Notre Dame,2.0,70.0,871.0,253.0,196.0,36.0,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,2010,lukeharangody
53,ATL,Pape Sy,,1.0,3.0,21.0,7.0,3.0,2.0,0.333,0.0,1.0,7.0,2.3,1.0,0.7,0.0,-0.047,-6.0,0.0,2010,papesy
54,LAC,Willie Warren,Oklahoma,1.0,19.0,134.0,37.0,12.0,27.0,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0.0,2010,williewarren
55,UTA,Jeremy Evans,Western Kentucky,7.0,250.0,2626.0,879.0,641.0,107.0,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9,2010,jeremyevans
56,MIN,Hamady N'Diaye,Rutgers University,3.0,33.0,157.0,20.0,25.0,3.0,0.467,,0.462,4.8,0.6,0.8,0.1,0.0,0.013,-7.3,-0.2,2010,hamadyn'diaye
57,IND,Ryan Reid,Florida State,1.0,5.0,17.0,8.0,2.0,0.0,0.8,,,3.4,1.6,0.4,0.0,0.1,0.142,-2.0,0.0,2010,ryanreid
58,LAL,Derrick Caracter,Texas-El Paso,1.0,41.0,215.0,81.0,43.0,7.0,0.485,,0.739,5.2,2.0,1.0,0.2,0.3,0.057,-7.1,-0.3,2010,derrickcaracter
59,ORL,Stanley Robinson,UConn,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,stanleyrobinson
60,PHO,Dwayne Collins,Miami (FL),0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2010,dwaynecollins
1,CLE,Kyrie Irving,Duke,14.0,779.0,26879.0,18433.0,3173.0,4364.0,0.474,0.394,0.888,34.5,23.7,4.1,5.6,91.0,0.163,4.5,43.7,2011,kyrieirving
2,MIN,Derrick Williams,Arizona,7.0,428.0,8864.0,3809.0,1693.0,293.0,0.434,0.3,0.71,20.7,8.9,4.0,0.7,14.1,0.076,-1.6,0.8,2011,derrickwilliams
3,UTA,Enes Freedom,,11.0,748.0,16101.0,8349.0,5822.0,638.0,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,-0.1,7.6,2011,enesfreedom
4,CLE,Tristan Thompson,Texas,13.0,819.0,20432.0,6822.0,6428.0,800.0,0.52,0.238,0.592,24.9,8.3,7.8,1.0,49.3,0.116,-1.7,1.3,2011,tristanthompson
5,TOR,Jonas Valančiūnas,,14.0,1002.0,24429.0,12846.0,9052.0,1379.0,0.561,0.34,0.793,24.4,12.8,9.0,1.4,87.6,0.172,0.9,18.2,2011,jonasvalanciunas
6,WAS,Jan Veselý,,3.0,162.0,2455.0,590.0,562.0,96.0,0.521,0.0,0.408,15.2,3.6,3.5,0.6,4.0,0.078,-2.6,-0.4,2011,janvesely
7,SAC,Bismack Biyombo,,15.0,892.0,17053.0,4418.0,5135.0,587.0,0.537,0.0,0.552,19.1,5.0,5.8,0.7,33.3,0.094,-2.6,-2.6,2011,bismackbiyombo
8,DET,Brandon Knight,Kentucky,9.0,451.0,13202.0,6301.0,1385.0,1777.0,0.411,0.352,0.807,29.3,14.0,3.1,3.9,11.6,0.042,-1.6,1.4,2011,brandonknight
9,CHA,Kemba Walker,UConn,12.0,750.0,24810.0,14486.0,2831.0,3938.0,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.8,0.116,2.8,29.8,2011,kembawalker
10,MIL,Jimmer Fredette,BYU,6.0,241.0,3213.0,1438.0,243.0,331.0,0.409,0.372,0.879,13.3,6.0,1.0,1.4,2.2,0.033,-2.5,-0.4,2011,jimmerfredette
11,GSW,Klay Thompson,Washington State,13.0,934.0,29306.0,17346.0,3184.0,2084.0,0.448,0.409,0.858,31.4,18.6,3.4,2.2,57.6,0.094,0.4,17.6,2011,klaythompson
12,UTA,Alec Burks,Colorado,14.0,791.0,17576.0,8346.0,2642.0,1521.0,0.415,0.386,0.805,22.2,10.6,3.3,1.9,31.7,0.087,-0.5,6.6,2011,alecburks
13,PHO,Markieff Morris,Kansas,14.0,791.0,18460.0,8076.0,3847.0,1221.0,0.443,0.341,0.779,23.3,10.2,4.9,1.5,27.3,0.071,-1.5,2.3,2011,markieffmorris
14,HOU,Marcus Morris,Kansas,13.0,832.0,22093.0,9965.0,3690.0,1235.0,0.435,0.377,0.774,26.6,12.0,4.4,1.5,39.4,0.086,-0.8,6.7,2011,marcusmorris
15,IND,Kawhi Leonard,San Diego State,14.0,798.0,25368.0,16546.0,5075.0,2470.0,0.499,0.391,0.863,31.8,20.7,6.4,3.1,111.9,0.212,6.6,55.2,2011,kawhileonard
16,PHI,Nikola Vučević,USC,15.0,1036.0,32321.0,17684.0,10707.0,3025.0,0.497,0.35,0.773,31.2,17.1,10.3,2.9,84.3,0.125,2.1,33.2,2011,nikolavucevic
17,NYK,Iman Shumpert,Georgia Tech,10.0,461.0,11470.0,3320.0,1534.0,845.0,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9,2011,imanshumpert
18,WAS,Chris Singleton,Florida State,3.0,148.0,2605.0,612.0,472.0,92.0,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8,2011,chrissingleton
19,CHA,Tobias Harris,Tennessee,15.0,1033.0,32474.0,16440.0,6292.0,2450.0,0.478,0.366,0.838,31.4,15.9,6.1,2.4,80.6,0.119,1.0,24.3,2011,tobiasharris
20,MIN,Donatas Motiejūnas,,6.0,251.0,4566.0,1832.0,952.0,269.0,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5,2011,donatasmotiejunas
21,POR,Nolan Smith,Duke,2.0,84.0,829.0,277.0,83.0,97.0,0.371,0.26,0.714,9.9,3.3,1.0,1.2,-0.8,-0.047,-6.0,-0.8,2011,nolansmith
22,DEN,Kenneth Faried,Morehead State University,8.0,478.0,11728.0,5430.0,3884.0,470.0,0.546,0.222,0.654,24.5,11.4,8.1,1.0,38.8,0.159,0.5,7.5,2011,kennethfaried
23,HOU,Nikola Mirotić,,5.0,319.0,7718.0,3910.0,1894.0,407.0,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1,2011,nikolamirotic
24,OKC,Reggie Jackson,Boston College,14.0,884.0,21859.0,10845.0,2463.0,3606.0,0.423,0.345,0.854,24.7,12.3,2.8,4.1,36.3,0.08,-0.6,7.5,2011,reggiejackson
25,BOS,MarShon Brooks,Providence,5.0,200.0,3456.0,1592.0,424.0,282.0,0.447,0.345,0.751,17.3,8.0,2.1,1.4,3.3,0.046,-1.6,0.4,2011,marshonbrooks
26,DAL,Jordan Hamilton,Texas,5.0,151.0,2100.0,890.0,429.0,127.0,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3.0,0.069,-0.1,1.0,2011,jordanhamilton
27,NJN,JaJuan Johnson,Purdue,1.0,36.0,298.0,114.0,58.0,6.0,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1,2011,jajuanjohnson
28,CHI,Norris Cole,Cleveland State University,6.0,360.0,8018.0,2506.0,702.0,981.0,0.407,0.324,0.743,22.3,7.0,2.0,2.7,3.0,0.018,-4.1,-4.1,2011,norriscole
29,SAS,Cory Joseph,Texas,14.0,866.0,18296.0,5828.0,2094.0,2517.0,0.44,0.35,0.786,21.1,6.7,2.4,2.9,32.1,0.084,-1.1,4.0,2011,coryjoseph
30,CHI,Jimmy Butler,Marquette,15.0,907.0,29972.0,16658.0,4858.0,3957.0,0.474,0.33,0.844,33.0,18.4,5.4,4.4,129.4,0.207,5.0,52.8,2011,jimmybutler
31,MIA,Bojan Bogdanović,,10.0,719.0,20890.0,11184.0,2559.0,1194.0,0.46,0.394,0.859,29.1,15.6,3.6,1.7,37.6,0.086,-0.9,5.8,2011,bojanbogdanovic
32,CLE,Justin Harper,Richmond,3.0,22.0,150.0,45.0,18.0,4.0,0.34,0.276,0.333,6.8,2.0,0.8,0.2,-0.3,-0.093,-8.7,-0.2,2011,justinharper
33,DET,Kyle Singler,Duke,6.0,356.0,7794.0,2326.0,1026.0,272.0,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10.0,0.062,-2.5,-0.9,2011,kylesingler
34,WAS,Shelvin Mack,Butler,8.0,456.0,8392.0,2997.0,894.0,1421.0,0.423,0.33,0.731,18.4,6.6,2.0,3.1,10.3,0.059,-1.9,0.1,2011,shelvinmack
35,SAC,Tyler Honeycutt,UCLA,2.0,24.0,120.0,28.0,24.0,9.0,0.314,0.2,0.714,5.0,1.2,1.0,0.4,-0.1,-0.049,-5.1,-0.1,2011,tylerhoneycutt
36,NJN,Jordan Williams,Maryland,1.0,43.0,635.0,197.0,156.0,11.0,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0.0,2011,jordanwilliams
37,LAC,Trey Thompkins,Georgia,1.0,24.0,119.0,57.0,24.0,3.0,0.393,0.308,0.714,5.0,2.4,1.0,0.1,0.0,0.004,-5.7,-0.1,2011,treythompkins
38,HOU,Chandler Parsons,Florida,9.0,440.0,13246.0,5571.0,1972.0,1201.0,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2,2011,chandlerparsons
39,CHA,Jeremy Tyler,,3.0,104.0,1034.0,373.0,269.0,25.0,0.45,0.0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7.0,-1.3,2011,jeremytyler
40,MIL,Jon Leuer,Wisconsin,8.0,377.0,5945.0,2395.0,1426.0,301.0,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2.0,2011,jonleuer
41,LAL,Darius Morris,Michigan,4.0,132.0,1464.0,430.0,126.0,189.0,0.384,0.322,0.63,11.1,3.3,1.0,1.4,-0.3,-0.01,-5.1,-1.2,2011,dariusmorris
42,IND,Dāvis Bertāns,,8.0,475.0,8545.0,3661.0,1159.0,448.0,0.422,0.396,0.863,18.0,7.7,2.4,0.9,18.6,0.105,0.2,4.7,2011,davisbertans
43,CHI,Malcolm Lee,UCLA,3.0,36.0,534.0,140.0,65.0,51.0,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1,2011,malcolmlee
44,GSW,Charles Jenkins,Hofstra,2.0,110.0,1334.0,408.0,100.0,214.0,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8,2011,charlesjenkins
45,NOH,Josh Harrellson,Kentucky,3.0,75.0,888.0,265.0,227.0,26.0,0.438,0.347,0.629,11.8,3.5,3.0,0.3,2.1,0.116,-0.4,0.4,2011,joshharrellson
46,LAL,Andrew Goudelock,College of Charleston,3.0,49.0,475.0,197.0,34.0,24.0,0.393,0.345,0.875,9.7,4.0,0.7,0.5,0.0,0.003,-5.0,-0.3,2011,andrewgoudelock
47,LAC,Travis Leslie,Georgia,1.0,10.0,45.0,14.0,9.0,5.0,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0.0,2011,travisleslie
48,ATL,Keith Benson,Oakland,1.0,3.0,9.0,0.0,3.0,0.0,0.0,,,3.0,0.0,1.0,0.0,0.0,-0.005,-7.7,0.0,2011,keithbenson
49,MEM,Josh Selby,Kansas,2.0,38.0,296.0,83.0,20.0,34.0,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6,2011,joshselby
50,PHI,Lavoy Allen,Temple,6.0,388.0,6905.0,1847.0,1843.0,384.0,0.471,0.133,0.682,17.8,4.8,4.8,1.0,13.8,0.096,-2.1,-0.1,2011,lavoyallen
51,POR,Jon Diebler,Ohio State,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2011,jondiebler
52,DET,Vernon Macklin,Florida,1.0,23.0,135.0,46.0,34.0,5.0,0.543,,0.571,5.9,2.0,1.5,0.2,0.5,0.161,1.2,0.1,2011,vernonmacklin
53,ORL,DeAndre Liggins,Kentucky,5.0,177.0,1907.0,346.0,252.0,122.0,0.402,0.352,0.549,10.8,2.0,1.4,0.7,1.6,0.04,-2.2,-0.1,2011,deandreliggins
54,CLE,Milan Mačvan,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2011,milanmacvan
55,BOS,E'Twaun Moore,Purdue,10.0,598.0,12564.0,4743.0,1208.0,1055.0,0.455,0.388,0.742,21.0,7.9,2.0,1.8,14.8,0.057,-1.9,0.2,2011,e'twaunmoore
56,LAL,Chukwudiebere Maduabum,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2011,chukwudieberemaduabum
57,DAL,Tanguy Ngombo,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2011,tanguyngombo
58,LAL,Ater Majok,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2011,atermajok
59,SAS,Ádám Hanga,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,2011,adamhanga
60,SAC,Isaiah Thomas,Washington,12.0,556.0,15582.0,9723.0,1321.0,2641.0,0.434,0.363,0.872,28.0,17.5,2.4,4.8,45.3,0.14,2.1,16.1,2011,isaiahthomas
1,NOH,Anthony Davis,Kentucky,14.0,807.0,27741.0,19385.0,8637.0,2065.0,0.522,0.295,0.793,34.4,24.0,10.7,2.6,120.1,0.208,5.8,54.9,2012,anthonydavis
2,CHA,Michael Kidd-Gilchrist,Kentucky,8.0,446.0,10978.0,3750.0,2420.0,515.0,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21.0,0.092,-1.8,0.6,2012,michaelkidd-gilchrist
3,WAS,Bradley Beal,Florida,14.0,807.0,27681.0,17306.0,3251.0,3442.0,0.464,0.376,0.821,34.3,21.4,4.0,4.3,58.4,0.101,1.4,23.7,2012,bradleybeal
4,CLE,Dion Waiters,Syracuse,8.0,419.0,11835.0,5505.0,1108.0,1163.0,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,2012,dionwaiters
5,SAC,Thomas Robinson,Kansas,5.0,313.0,4204.0,1528.0,1507.0,190.0,0.47,0.0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,2012,thomasrobinson
6,POR,Damian Lillard,Weber State,13.0,900.0,32614.0,22598.0,3845.0,6069.0,0.439,0.371,0.899,36.2,25.1,4.3,6.7,118.4,0.174,4.6,54.5,2012,damianlillard
7,GSW,Harrison Barnes,UNC,14.0,1070.0,33015.0,14572.0,4955.0,1887.0,0.46,0.385,0.811,30.9,13.6,4.6,1.8,66.4,0.097,-0.8,10.0,2012,harrisonbarnes
8,TOR,Terrence Ross,Washington,11.0,733.0,17956.0,8047.0,2061.0,936.0,0.418,0.362,0.837,24.5,11.0,2.8,1.3,25.0,0.067,-1.0,4.5,2012,terrenceross
9,DET,Andre Drummond,UConn,14.0,967.0,25451.0,11696.0,11513.0,1187.0,0.539,0.217,0.489,26.3,12.1,11.9,1.2,80.0,0.151,1.0,18.9,2012,andredrummond
10,NOH,Austin Rivers,Duke,11.0,707.0,16858.0,5996.0,1442.0,1513.0,0.419,0.349,0.653,23.8,8.5,2.0,2.1,15.2,0.043,-3.1,-4.5,2012,austinrivers
11,POR,Meyers Leonard,Illinois,10.0,456.0,7272.0,2545.0,1771.0,396.0,0.482,0.39,0.812,15.9,5.6,3.9,0.9,15.8,0.104,-1.5,1.0,2012,meyersleonard
12,HOU,Jeremy Lamb,UConn,10.0,573.0,11896.0,5805.0,2073.0,904.0,0.439,0.342,0.857,20.8,10.1,3.6,1.6,26.8,0.108,0.6,7.9,2012,jeremylamb
13,PHO,Kendall Marshall,UNC,4.0,160.0,3083.0,802.0,253.0,779.0,0.399,0.37,0.611,19.3,5.0,1.6,4.9,1.0,0.015,-3.5,-1.1,2012,kendallmarshall
14,MIL,John Henson,UNC,8.0,445.0,8752.0,3383.0,2368.0,496.0,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4,2012,johnhenson
15,PHI,Maurice Harkless,St. John's,10.0,621.0,14019.0,4259.0,2198.0,572.0,0.474,0.32,0.624,22.6,6.9,3.5,0.9,23.0,0.079,-0.8,4.1,2012,mauriceharkless
16,HOU,Royce White,Iowa State,1.0,3.0,9.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,-0.121,-16.9,0.0,2012,roycewhite
17,DAL,Tyler Zeller,UNC,8.0,414.0,7254.0,2873.0,1820.0,367.0,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2.0,0.0,2012,tylerzeller
18,HOU,Terrence Jones,Kentucky,6.0,234.0,5562.0,2431.0,1334.0,238.0,0.501,0.297,0.621,23.8,10.4,5.7,1.0,14.7,0.127,0.5,3.6,2012,terrencejones
19,ORL,Andrew Nicholson,St. Bonaventure,5.0,285.0,4080.0,1700.0,857.0,126.0,0.467,0.321,0.773,14.3,6.0,3.0,0.4,3.8,0.045,-3.6,-1.6,2012,andrewnicholson
20,DEN,Evan Fournier,,12.0,704.0,19514.0,9607.0,1878.0,1759.0,0.441,0.374,0.799,27.7,13.6,2.7,2.5,30.5,0.075,-1.1,4.3,2012,evanfournier
21,BOS,Jared Sullinger,Ohio State,5.0,269.0,6532.0,2893.0,2006.0,477.0,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,2012,jaredsullinger
22,BOS,Fab Melo,Syracuse,1.0,6.0,36.0,7.0,3.0,0.0,0.5,,0.25,6.0,1.2,0.5,0.0,0.0,0.021,-7.6,-0.1,2012,fabmelo
23,ATL,John Jenkins,Vanderbilt,6.0,171.0,2183.0,855.0,250.0,138.0,0.441,0.367,0.847,12.8,5.0,1.5,0.8,3.0,0.065,-1.9,0.1,2012,johnjenkins
24,CLE,Jared Cunningham,Oregon State,4.0,84.0,605.0,197.0,56.0,39.0,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.7,-0.6,2012,jaredcunningham
25,MEM,Tony Wroten,Washington,4.0,145.0,3076.0,1604.0,363.0,437.0,0.413,0.231,0.647,21.2,11.1,2.5,3.0,-1.3,-0.021,-3.4,-1.1,2012,tonywroten
26,IND,Miles Plumlee,Duke,7.0,346.0,5658.0,1697.0,1562.0,178.0,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.9,0.2,2012,milesplumlee
27,MIA,Arnett Moultrie,Mississippi State,2.0,59.0,729.0,210.0,180.0,12.0,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1,2012,arnettmoultrie
28,OKC,Perry Jones,Baylor,3.0,143.0,1675.0,488.0,252.0,54.0,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-3.5,-0.6,2012,perryjones
29,CHI,Marquis Teague,Kentucky,3.0,91.0,909.0,217.0,90.0,134.0,0.343,0.222,0.661,10.0,2.4,1.0,1.5,-0.9,-0.045,-6.5,-1.0,2012,marquisteague
30,GSW,Festus Ezeli,Vanderbilt,3.0,170.0,2394.0,712.0,725.0,63.0,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2.0,0.0,2012,festusezeli
31,CHA,Jeff Taylor,Vanderbilt,3.0,132.0,2566.0,807.0,263.0,107.0,0.409,0.319,0.665,19.4,6.1,2.0,0.8,1.3,0.024,-4.2,-1.5,2012,jefftaylor
32,WAS,Tomáš Satoranský,,6.0,388.0,8617.0,2676.0,1117.0,1586.0,0.468,0.354,0.82,22.2,6.9,2.9,4.1,17.9,0.1,-0.9,2.4,2012,tomassatoransky
33,CLE,Bernard James,Florida State,3.0,92.0,761.0,203.0,212.0,13.0,0.497,0.0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0.0,2012,bernardjames
34,CLE,Jae Crowder,Marquette,13.0,812.0,20161.0,7515.0,3391.0,1281.0,0.418,0.347,0.777,24.8,9.3,4.2,1.6,43.0,0.102,0.1,10.9,2012,jaecrowder
35,GSW,Draymond Green,Michigan State,14.0,949.0,27151.0,8235.0,6462.0,5324.0,0.447,0.321,0.71,28.6,8.7,6.8,5.6,66.3,0.117,2.1,27.9,2012,draymondgreen
36,SAC,Orlando Johnson,UC Santa Barbara,3.0,103.0,1112.0,329.0,180.0,69.0,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,2012,orlandojohnson
37,TOR,Quincy Acy,Baylor,7.0,337.0,5392.0,1642.0,1179.0,217.0,0.444,0.35,0.759,16.0,4.9,3.5,0.6,8.7,0.078,-2.0,-0.1,2012,quincyacy
38,DEN,Quincy Miller,Baylor,3.0,69.0,934.0,295.0,169.0,37.0,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5,2012,quincymiller
39,DET,Khris Middleton,Texas A&M,14.0,839.0,25262.0,13541.0,3931.0,3242.0,0.458,0.385,0.878,30.1,16.1,4.7,3.9,58.2,0.111,0.5,15.7,2012,khrismiddleton
40,POR,Will Barton,Memphis,11.0,679.0,17116.0,7625.0,2792.0,1817.0,0.43,0.355,0.787,25.2,11.2,4.1,2.7,26.5,0.074,-0.4,6.9,2012,willbarton
41,POR,Tyshawn Taylor,Kansas,2.0,61.0,491.0,174.0,33.0,57.0,0.354,0.36,0.684,8.0,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,2012,tyshawntaylor
